49.16	50
15.8707	47.98	50
15.8724	47.33	50
15.8741	49.34	50
15.8758	49.34	50
15.8776	49.69	50
15.8793	47.98	50
15.8810	47.98	50
15.8827	49.51	50
15.8844	49.51	50
15.8862	50.23	50
15.8879	48.31	50
15.8896	47.82	50
15.8913	49.51	50
15.8930	49.51	50
15.8947	49.87	50
15.8964	48.31	50
15.8981	47.98	50
15.8999	50.05	50
15.9016	50.05	50
15.9033	49.87	50
15.9050	47.98	50
15.9067	47.33	50
15.9084	49.16	50
15.9102	49.16	50
15.9119	49.69	50
15.9136	48.15	50
15.9153	47.82	50
15.9171	49.87	50
15.9188	49.87	50
15.9205	50.23	50
15.9222	48.48	50
15.9239	48.15	50
15.9256	47.65	50
15.9273	49.51	50
15.9291	49.87	50
15.9308	48.15	50
15.9325	47.98	50
15.9342	47.82	50
15.9359	49.87	50
15.9377	50.41	50
15.9394	48.48	50
15.9411	47.98	50
15.9429	47.49	50
15.9446	49.51	50
15.9463	50.23	50
15.9480	48.31	50
15.9497	47.82	50
15.9514	47.33	50
15.9531	49.34	50
15.9548	49.69	50
15.9566	49.69	50
15.9583	47.82	50
15.9600	47.65	50
15.9617	49.87	50
15.9634	50.59	50
15.9652	50.59	50
15.9669	47.82	50
15.9686	47.01	50
15.9703	48.99	50
15.9720	49.69	50
15.9738	49.69	50
15.9755	47.65	50
15.9772	47.65	50
15.9789	50.05	50
15.9806	50.23	50
15.9823	50.23	50
15.9841	47.33	50
15.9858	46.70	50
15.9875	48.48	50
15.9892	50.96	50
15.9909	49.34	50
15.9927	46.54	50
15.9944	46.54	50
15.9961	48.65	50
15.9978	51.33	50
15.9995	49.87	50
16.0013	46.85	50
16.0030	46.85	50
16.0047	48.99	50
16.0064	51.33	50
16.0081	49.69	0
16.0097	47.33	0
16.0113	47.33	0
16.0130	48.15	0
16.0146	48.15	0
16.0163	47.98	0
16.0179	47.98	0
16.0196	45.04	0
16.0212	44.33	0
16.0229	45.78	0
16.0245	47.49	0
16.0262	45.33	0
16.0278	43.50	0
16.0295	42.96	0
16.0312	42.57	0
16.0328	44.47	0
16.0345	46.39	0
16.0361	44.47	0
16.0378	42.44	0
16.0394	41.93	0
16.0411	41.43	0
16.0427	42.70	0
16.0444	44.47	0
16.0460	42.70	0
16.0476	40.59	0
16.0493	39.89	0
16.0509	39.33	0
16.0526	40.59	0
16.0542	42.18	0
16.0559	40.35	0
16.0575	40.35	0
16.0592	37.84	0
16.0608	37.84	0
16.0624	38.57	0
16.0641	38.57	0
16.0657	39.89	0
16.0673	38.05	0
16.0690	38.05	0
16.0706	35.80	0
16.0723	35.80	0
16.0739	35.08	0
16.0755	36.17	0
16.0772	37.64	0
16.0788	35.89	0
16.0805	35.89	0
16.0821	33.64	0
16.0838	33.64	0
16.0854	33.09	0
16.0870	34.06	0
16.0887	34.06	0
16.0903	35.17	0
16.0920	33.48	0
16.0936	33.48	0
16.0952	31.38	0
16.0969	31.38	0
16.0985	30.75	0
16.1001	31.66	0
16.1017	31.66	0
16.1034	32.55	0
16.1050	30.96	0
16.1066	30.96	0
16.1083	29.40	0
16.1099	28.67	0
16.1115	28.67	0
16.1132	28.21	0
16.1148	29.09	0
16.1165	29.09	0
16.1181	29.96	0
16.1198	28.50	0
16.1214	28.50	0
16.1230	27.01	0
16.1247	26.29	0
16.1263	26.29	0
16.1280	26.29	0
16.1296	26.15	0
16.1313	26.15	0
16.1329	26.15	0
